公司,路径1,路径2,路径3,最终实际控制人
共青城明伦投资合伙企业(有限合伙),共青城明伦投资合伙企业(有限合伙),,,吴伟雄
共青城峰伦投资合伙企业(有限合伙),共青城峰伦投资合伙企业(有限合伙),,,杨廉峰
共青城伟伦投资合伙企业(有限合伙),共青城伟伦投资合伙企业(有限合伙),,,刘文超
共青城经伦投资合伙企业(有限合伙),共青城经伦投资合伙企业(有限合伙),,,李义辉
共青城毅伦投资合伙企业(有限合伙),共青城毅伦投资合伙企业(有限合伙),,,潘著
共青城智伦投资合伙企业(有限合伙),共青城智伦投资合伙企业(有限合伙),,,梅晓东
井冈山兴伦投资合伙企业(有限合伙),井冈山兴伦投资合伙企业(有限合伙),,,郑芳宏
新和成控股集团有限公司,新和成控股集团有限公司,,,胡柏藩
新昌勤进投资有限公司,新昌勤进投资有限公司,,,胡柏藩
中国航空工业集团有限公司,中国航空工业集团有限公司,,,程福波
中国航空工业集团公司成都飞机设计研究所,中国航空工业集团公司成都飞机设计研究所,,,何亮
成都飞机工业(集团)有限责任公司,成都飞机工业(集团)有限责任公司,,,隋少春
中航技进出口有限责任公司,中航技进出口有限责任公司,,,刘宇
成都颐同人企业管理合伙企业(有限合伙),成都颐同人企业管理合伙企业(有限合伙),,,李屹东
成都泰萃企业管理合伙企业(有限合伙),成都泰萃企业管理合伙企业(有限合伙),,,丁健
中航融富基金管理有限公司-北京中航一期航空工业产业投资基金(有限合伙),中航融富基金管理有限公司-北京中航一期航空工业产业投资基金(有限合伙),,,张晓军
航证科创投资有限公司,航证科创投资有限公司,,,董忠云
上海电缆研究所有限公司,上海电缆研究所有限公司,,,江斌
申能(集团)有限公司,申能(集团)有限公司,,,黄迪南
广德广和管理投资合伙企业(有限合伙),广德广和管理投资合伙企业(有限合伙),,,徐杨顺
佛山市顺德区维而登管理咨询合伙企业(有限合伙),佛山市顺德区维而登管理咨询合伙企业(有限合伙),,,何泳欣
淮安豪信液压有限公司,淮安豪信液压有限公司,,,马金星
淮安众博信息咨询服务有限公司,淮安众博信息咨询服务有限公司,,,董兰波
宁波思辉创业投资合伙企业(有限合伙),宁波思辉创业投资合伙企业(有限合伙),,,盛晓兰
浙江财通资本投资有限公司-金华市金开产业引领投资合伙企业(有限合伙),浙江财通资本投资有限公司-金华市金开产业引领投资合伙企业(有限合伙),,,黄洪岳
财通创新投资有限公司,财通创新投资有限公司,,,张昊
北京维恒管理咨询中心(有限合伙),北京维恒管理咨询中心(有限合伙),,,金震
北京三维智鉴管理咨询中心(有限合伙),北京三维智鉴管理咨询中心(有限合伙),,,金震
VICTORY HOLDINGS (HK) LIMITED,VICTORY HOLDINGS (HK) LIMITED,,,祁建新
常州泓泰一号创业投资合伙企业(有限合伙),常州泓泰一号创业投资合伙企业(有限合伙),常州泓泰私募基金管理有限公司,,张建华
珠海奥比中芯股权投资合伙企业(有限合伙),珠海奥比中芯股权投资合伙企业(有限合伙),,,黄源浩
珠海奥比中瑞股权投资合伙企业(有限合伙),珠海奥比中瑞股权投资合伙企业(有限合伙),,,黄源浩
珠海奥比中鑫股权投资合伙企业(有限合伙),珠海奥比中鑫股权投资合伙企业(有限合伙),,,黄源浩
珠海奥比中欣股权投资合伙企业(有限合伙),珠海奥比中欣股权投资合伙企业(有限合伙),,,黄源浩
珠海奥比中诚股权投资合伙企业(有限合伙),珠海奥比中诚股权投资合伙企业(有限合伙),,,黄源浩
珠海奥比中泰股权投资合伙企业(有限合伙),珠海奥比中泰股权投资合伙企业(有限合伙),,,黄源浩
太湖宏辉医疗管理合伙企业(有限合伙),太湖宏辉医疗管理合伙企业(有限合伙),,,黄凡
"Pan-Scientific Holdings Co., Ltd.","Pan-Scientific Holdings Co., Ltd.",,,"Pan-Scientific Holdings Co., Ltd."
泰州东虹企业管理中心(有限合伙),泰州东虹企业管理中心(有限合伙),PAN KE,PAN KE,PAN KE
泰州亚虹企业管理中心(有限合伙),泰州亚虹企业管理中心(有限合伙),PAN KE,PAN KE,PAN KE
苏州国芯联创投资管理有限公司,苏州国芯联创投资管理有限公司,,,郑茳
宁波梅山保税港区旭盛科创投资管理合伙企业(有限合伙),宁波梅山保税港区旭盛科创投资管理合伙企业(有限合伙),,,郑茳
宁波矽晟投资管理合伙企业(有限合伙),宁波矽晟投资管理合伙企业(有限合伙),,,郑茳
宁波矽丰投资管理合伙企业(有限合伙),宁波矽丰投资管理合伙企业(有限合伙),,,郑茳
宁波梅山保税港区矽芯投资管理合伙企业(有限合伙),宁波梅山保税港区矽芯投资管理合伙企业(有限合伙),,,郑茳
成都普瑞世纪投资有限责任公司,成都普瑞世纪投资有限责任公司,,,徐旭阳
上海浦视玖昊企业管理合伙企业(有限合伙),上海浦视玖昊企业管理合伙企业(有限合伙),,,徐旭阳
上海浦视捌昊企业管理合伙企业(有限合伙),上海浦视捌昊企业管理合伙企业(有限合伙),,,徐旭阳
上海浦视伍昊企业管理合伙企业(有限合伙),上海浦视伍昊企业管理合伙企业(有限合伙),,,徐旭阳
上海浦视叁昊企业管理合伙企业(有限合伙),上海浦视叁昊企业管理合伙企业(有限合伙),,,徐旭阳
建水县铨钧企业管理中心(有限合伙),建水县铨钧企业管理中心(有限合伙),,,张亚
新余环亚诺金企业管理有限公司,新余环亚诺金企业管理有限公司,,,张亚
民生证券投资有限公司,民生证券投资有限公司,,,任凯锋
中保投资有限责任公司-中国保险投资基金(有限合伙),中保投资有限责任公司-中国保险投资基金(有限合伙),,,江桂兰
深圳市同方汇鑫创业投资有限公司,深圳市同方汇鑫创业投资有限公司,,,王灿锋
南京乔融创业投资合伙企业(有限合伙),南京乔融创业投资合伙企业(有限合伙),,,蒋福春
安信证券资管-兴业银行-安信资管乔锋智能高管参与创业板战略配售集合资产管理计划,安信证券资管-兴业银行-安信资管乔锋智能高管参与创业板战略配售集合资产管理计划,,,熊碧华
南京乔泽创业投资合伙企业(有限合伙),南京乔泽创业投资合伙企业(有限合伙),,,蒋林华
苏州华扬同创投资中心(有限合伙),苏州华扬同创投资中心(有限合伙),,,巫少峰
深圳群智方立科技合伙企业(有限合伙),深圳群智方立科技合伙企业(有限合伙),,,邱鹏
兴证投资管理有限公司,兴证投资管理有限公司,,,蔡晓斌
张家港金农联实业有限公司,张家港金农联实业有限公司,,,赵建军
苏州敦行价值二号创业投资合伙企业(有限合伙),苏州敦行价值二号创业投资合伙企业(有限合伙),苏州敦行投资管理有限公司,,马阳光
苏州敦行价值三号创业投资合伙企业(有限合伙),苏州敦行价值三号创业投资合伙企业(有限合伙),苏州敦行投资管理有限公司,,马阳光
苏州敦行价值创业投资合伙企业(有限合伙),苏州敦行价值创业投资合伙企业(有限合伙),苏州敦行投资管理有限公司,,马阳光
张家港东金实业有限公司,张家港东金实业有限公司,,,赵建军
苏州敦行聚才创业投资合伙企业(有限合伙),苏州敦行聚才创业投资合伙企业(有限合伙),,,马阳光
广东星辉控股有限公司,广东星辉控股有限公司,,,陈雁升
星辉合成材料(香港)有限公司,星辉合成材料(香港)有限公司,,,陈粤平
新疆生产建设兵团建设工程(集团)有限责任公司,新疆生产建设兵团建设工程(集团)有限责任公司,,,陈少敏
浙江天成科投有限公司,浙江天成科投有限公司,,,许筱荷
杭州臻品致信投资合伙企业(有限合伙),杭州臻品致信投资合伙企业(有限合伙),杭州臻品资产管理有限公司,,沈淋涛
杭州宝钰投资管理合伙企业(有限合伙),杭州宝钰投资管理合伙企业(有限合伙),,,马驹
中信建投投资有限公司,中信建投投资有限公司,,,李旭东
深圳市惟实聚成投资合伙企业(有限合伙),深圳市惟实聚成投资合伙企业(有限合伙),,,薛兴韩
招商证券投资有限公司,招商证券投资有限公司,,,凌江红
中信证券投资有限公司,中信证券投资有限公司,,,方浩
中信建投投资有限公司,中信建投投资有限公司,,,李旭东
